DEPARTAMENTO;CANDIDATO;PARTIDO;PORCENTAJE;VOTOS
AMAZONAS;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;36.272%;58,213
ANCASH;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;17.951%;95,672
APURIMAC;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;40.976%;81,091
AREQUIPA;JORGE NIETO MONTESINOS;PARTIDO DEL BUEN GOBIERNO;18.656%;163,273
AYACUCHO;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;31.311%;88,382
CAJAMARCA;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;41.635%;265,336
CALLAO;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;20.666%;117,030
CUSCO;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;22.859%;154,156
HUANCAVELICA;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;43.361%;72,292
HUANUCO;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;29.764%;98,255
ICA;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;20.294%;94,076
JUNIN;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;17.050%;107,717
LA LIBERTAD;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;20.264%;187,705
LAMBAYEQUE;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;26.400%;176,012
LIMA;RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA;RENOVACIÓN POPULAR;19.895%;1,178,615
LORETO;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;27.879%;86,846
MADRE DE DIOS;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;23.375%;18,371
MOQUEGUA;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;12.861%;14,551
PASCO;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;18.769%;21,502
PIURA;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;27.988%;239,268
PUNO;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;24.920%;161,018
SAN MARTIN;ROBERTO HELBERT SANCHEZ PALOMINO;JUNTOS POR EL PERÚ;23.958%;89,893
TACNA;RICARDO PABLO BELMONT CASSINELLI;PARTIDO CÍVICO OBRAS;14.627%;32,248
TUMBES;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;34.136%;37,850
UCAYALI;KEIKO SOFIA FUJIMORI HIGUCHI;FUERZA POPULAR;29.601%;62,564
